frame1 #-0,006965638#1,017509#3,566859#-0,0008471277#0,8342237#3,574339# 0,1604973#0,3732625#3,386408#-0,1407441#0,2893018#3,366897#0,2095074#0,3936593#3,429118#-0,1709401#0,3415129#3,419324#0,2991801#0,5221211#3,567289#-0,261528#0,498146#3,591012#0,1702995#0,7038054#3,566009#-0,1728902#0,6976897#3,581731#0,001669551#0,4511376#3,591288#-0,0006343775#0,3809178#3,53941#0,07661954#0,3050988#3,522933#-0,07781583#0,3023467#3,539083#0,09861305#-0,2317273#3,581568#-0,08655915#-0,2209497#3,572151#0,09995638#-0,583389#3,57986#-0,0366841#-0,5830072#3,580577#0,08190311#-0,6543243#3,522629#-0,06524392#-0,6471423#3,57708#0  
frame2 #-0,006740145#1,020322#3,565806#-0,0008098125#0,8354701#3,572452# 0,1912247#0,2914192#3,401465#-0,1819828#0,2609812#3,406191#0,2333069#0,3473923#3,449018#-0,2084952#0,3190264#3,461806#0,2903523#0,5076292#3,560193#-0,2479067#0,4702324#3,593998#0,170512#0,7035577#3,565183#-0,1728395#0,6977795#3,581207#0,00163583#0,4527867#3,590257#-0,0007193027#0,3825493#3,538625#0,07656828#0,3062868#3,522411#-0,07797848#0,3042504#3,538369#0,09815199#-0,2313806#3,580842#-0,08702496#-0,2226623#3,572372#0,0868641#-0,5832006#3,582224#-0,04302843#-0,5830768#3,577276#0,08374648#-0,6489601#3,521488#-0,07131243#-0,6510262#3,561034#0  
frame3 #-0,006415777#1,020283#3,563676#0,001361533#0,835201#3,570251# 0,1859446#0,211516#3,413091#-0,1938028#0,2221554#3,422219#0,2152228#0,2729508#3,469792#-0,2199107#0,2835962#3,4904#0,2727122#0,4734385#3,575703#-0,2438815#0,4661133#3,596773#0,1731531#0,700996#3,563945#-0,1726764#0,6981125#3,579725#0,001817147#0,4549096#3,589705#-0,0007184247#0,3853315#3,538811#0,07662198#0,3076939#3,523061#-0,07887839#0,30735#3,538517#0,09628256#-0,2354709#3,581104#-0,08757657#-0,2233988#3,57256#0,0860887#-0,5812428#3,576134#-0,03684916#-0,5841306#3,576344#0,08682545#-0,6473017#3,519904#-0,07177868#-0,6500064#3,548953#0  
frame4 #-0,006367595#1,017677#3,558624#0,001492496#0,8355211#3,569033# 0,209779#0,1641445#3,440866#-0,197932#0,179157#3,453805#0,2244189#0,2501477#3,482057#-0,2196324#0,2589479#3,503505#0,2693872#0,4590996#3,589614#-0,2388629#0,4489675#3,616489#0,1736808#0,6987104#3,562155#-0,1711083#0,6983734#3,577412#0,001755113#0,4552251#3,589338#-0,0006378277#0,385445#3,539042#0,07666177#0,3078007#3,524265#-0,07863721#0,3078543#3,538823#0,09634179#-0,2344429#3,581295#-0,0875973#-0,2232371#3,572834#0,08954296#-0,5819144#3,568474#-0,03618802#-0,5837113#3,576303#0,08691873#-0,647063#3,519678#-0,05664267#-0,6532984#3,563378#0  
frame5 #-0,006047221#1,017532#3,5566#0,001241117#0,8355721#3,568182# 0,2166705#0,1300474#3,461269#-0,2231771#0,1445667#3,485792#0,2293241#0,1998875#3,49491#-0,2266201#0,2426194#3,517391#0,2409396#0,425464#3,588782#-0,2390767#0,4470275#3,615618#0,1743426#0,697119#3,560514#-0,1699475#0,6983715#3,57576#0,001452401#0,4553896#3,589205#-0,001055336#0,3852212#3,539936#0,07572635#0,3072187#3,526916#-0,0789384#0,30792#3,539507#0,09599292#-0,2337115#3,581058#-0,0876091#-0,2232265#3,572979#0,08432989#-0,5832531#3,564737#-0,03486403#-0,5843168#3,577545#0,08651454#-0,6455845#3,518267#-0,06757981#-0,6478114#3,557173#0  
frame6 #-0,005534921#1,01703#3,556931#0,00206302#0,8341031#3,566155# 0,2269226#0,1018846#3,469462#-0,230707#0,09599302#3,524543#0,2321376#0,1782437#3,505181#-0,2310508#0,1995633#3,539789#0,2397667#0,4246906#3,589477#-0,2349927#0,4342807#3,61626#0,1735688#0,6966032#3,558789#-0,1690299#0,6986909#3,574319#0,001287589#0,4547502#3,589018#-0,00143419#0,3838088#3,541159#0,07470895#0,3058203#3,528864#-0,07910294#0,3071315#3,540957#0,09538001#-0,2348301#3,58106#-0,08769472#-0,2231887#3,573132#0,094483#-0,5703304#3,570858#-0,03521594#-0,5847192#3,57811#0,08587509#-0,6451916#3,518303#-0,06799012#-0,6481649#3,557461#0  
frame7 #-0,002427069#1,015537#3,554497#0,003171622#0,8337034#3,565655# 0,2282965#0,09166309#3,499016#-0,2303425#0,1001691#3,52827#0,2282552#0,1861881#3,530477#-0,2318324#0,2018625#3,550454#0,2360559#0,4200203#3,591439#-0,2304902#0,4337407#3,610831#0,1740887#0,6951977#3,557243#-0,1679777#0,6976886#3,571633#0,0008806706#0,4537835#3,588993#-0,002018547#0,3820795#3,542551#0,07375422#0,3040469#3,530184#-0,08008471#0,3053169#3,543293#0,095264#-0,2343834#3,581305#-0,08805202#-0,223167#3,573411#0,09373346#-0,5724434#3,57024#-0,03266522#-0,5850468#3,575697#0,08650299#-0,6425101#3,520961#-0,06214152#-0,6452173#3,545687#0  
frame8 #-0,002340678#1,017122#3,555613#0,008239586#0,8311499#3,563062# 0,2253919#0,1066028#3,526628#-0,2370961#0,1120055#3,551793#0,226028#0,173122#3,559743#-0,2332127#0,186155#3,554729#0,2293942#0,416007#3,596902#-0,2247163#0,4118381#3,60149#0,1757643#0,692014#3,555427#-0,1673049#0,6994313#3,568579#0,001312961#0,4537001#3,587902#-0,00158219#0,3815609#3,543966#0,07397232#0,3021646#3,533473#-0,08004441#0,3054549#3,544513#0,09589533#-0,2301063#3,581243#-0,08828109#-0,2234155#3,573861#0,09536034#-0,57872#3,571265#-0,03264937#-0,5853079#3,580073#0,08730187#-0,6435891#3,522285#-0,06463552#-0,6479129#3,558002#0  
frame9 #0,000691188#1,01533#3,553965#0,008360289#0,8314164#3,562217# 0,2241575#0,118495#3,53793#-0,2354989#0,1195196#3,550554#0,2250478#0,1816424#3,575152#-0,2323209#0,1924921#3,556778#0,2244353#0,4120358#3,619781#-0,2221121#0,4210581#3,597503#0,1755812#0,6917008#3,553421#-0,1660226#0,6993428#3,565338#0,00119948#0,4538344#3,587037#-0,001527336#0,3813972#3,544683#0,07383094#0,3020595#3,535512#-0,07993709#0,3056284#3,544976#0,09608093#-0,2300777#3,581337#-0,08827275#-0,2230632#3,573856#0,09483664#-0,5786232#3,570719#-0,03444354#-0,5850986#3,579924#0,08853924#-0,6422043#3,522153#-0,03519256#-0,6463643#3,54813#0  
frame10 #0,002058452#1,014047#3,551934#0,008683857#0,8314606#3,561384# 0,2247678#0,1196927#3,54015#-0,2302165#0,119521#3,543089#0,2257966#0,1819391#3,577201#-0,2295057#0,1909144#3,555373#0,2235503#0,4121623#3,620302#-0,2213339#0,4211017#3,597679#0,1759832#0,6913818#3,553372#-0,165838#0,6991464#3,564598#0,001512963#0,4541218#3,586029#-0,001014206#0,3815809#3,545076#0,07475294#0,3024977#3,536914#-0,07958505#0,3057314#3,545016#0,0953826#-0,2300013#3,581085#-0,08784725#-0,2236358#3,573923#0,08203404#-0,5788472#3,573287#-0,03288317#-0,5860967#3,580683#0,08845803#-0,6422157#3,522191#-0,05020643#-0,6482964#3,558135#0  
frame11 #0,004181284#1,018251#3,5475#0,008235685#0,8354251#3,557163# 0,223364#0,1203928#3,558114#-0,2305892#0,1363565#3,543745#0,2248106#0,1815574#3,595352#-0,2161428#0,2063918#3,547772#0,2229187#0,414196#3,620473#-0,2190117#0,4366754#3,596749#0,176159#0,6911439#3,553365#-0,1656253#0,6994196#3,563779#0,001741619#0,4552271#3,58441#-0,0006251923#0,3820488#3,545176#0,07530291#0,3029412#3,537404#-0,07902212#0,3065481#3,545118#0,09544883#-0,2299777#3,581006#-0,08757272#-0,2215087#3,573318#0,08529982#-0,5780024#3,569842#-0,0382266#-0,5788807#3,580179#0,0879856#-0,643448#3,523576#-0,07610342#-0,6258#3,545441#0  
